"filename", "language", "Python", "Log", "comment", "blank", "total"
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/BOMD-TS_T3.log", "Log", 0, 133776, 0, 2211, 135987
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/T4_MCC.log", "Log", 0, 95178, 0, 1428, 96606
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/__init__.py", "Python", 1, 0, 0, 1, 2
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/auxilaryscripts/faster.py", "Python", 37, 0, 34, 15, 86
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/auxilaryscripts/gncheatmap.py", "Python", 29, 0, 4, 12, 45
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/auxilaryscripts/onceagain.py", "Python", 36, 0, 10, 18, 64
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/auxilaryscripts/opt.py", "Python", 29, 0, 10, 13, 52
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/auxilaryscripts/plot.py", "Python", 112, 0, 3, 48, 163
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/auxilaryscripts/properplot.py", "Python", 39, 0, 9, 11, 59
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/auxilaryscripts/translateold.py", "Python", 259, 0, 30, 127, 416
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/bmd20.log", "Log", 0, 2164, 0, 203, 2367
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/conversions.py", "Python", 47, 0, 11, 12, 70
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/errors.py", "Python", 4, 0, 0, 2, 6
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/ppp.py", "Python", 70, 0, 7, 35, 112
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/reader.py", "Python", 206, 0, 4, 61, 271
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/test.py", "Python", 11, 0, 0, 2, 13
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/trajectory.py", "Python", 57, 0, 5, 7, 69
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/translate.py", "Python", 21, 0, 17, 18, 56
"/home/omabaza/Documents/MLAddtionalMaterials/GTT/gausstrajlib/writer.py", "Python", 49, 0, 2, 24, 75
"Total", "-", 1007, 231118, 146, 4248, 236519